vpn,style,sku,barcode,size,neck_circumference,shoulder_width,arm_length,center_back,chest_width,waist_circumference,inner_leg,outer_leg,thigh_circumference,glutes,cost_price,rrp,sale_price,brand_id,description,category,cost_price_cents,rrp_cents,sale_price_cents,vendor,style_number,size_code,sub_category,fabric_composition,silhouette,main_colour,print_wash,remote_photo_url
1295750,,S18100301905,,M,40.5,45,85.5,75,106,,0,0,0,0,36,36,36,3,Pull&Bear Denim Shirt In Black,TOPS,3600,3600,3600,ASOS,S181003019,05,Shirt,100% Cotton,regular,black,Denim,https://images.asos-media.com/products/pullbear-denim-shirt-in-black/10011220-1-black?$XXL$&wid=513&fit=constrain
1273562,,S18100302005,,M,40.5,45,85.5,75,106,,0,0,0,0,40,40,40,3,Pull&Bear Denim Western Style Shirt In Blue,TOPS,4000,4000,4000,ASOS,S181003020,05,Shirt,100% Cotton,regular,blue,Denim,https://images.asos-media.com/products/pullbear-denim-western-style-shirt-in-blue/9748282-1-blue?$XXL$&wid=513&fit=constrain
1295742,,S18100302105,,M,40.5,45,85.5,75,106,,0,0,0,0,36,36,36,3,Pull&Bear Denim Shirt In Light Blue,TOPS,3600,3600,3600,ASOS,S181003021,05,Shirt,100% Cotton,regular,light-blue,Denim,http://images.asos-media.com/products/pullbear-denim-shirt-in-light-blue/10011110-1-lightblue?$XXL$&wid=513&fit=constrain
"1283896
",,S18100302205,,M,40.5,45,85.5,75,106,,0,0,0,0,36,36,36,3,Pull&Bear Grandad Collar Shirt In Light Blue,TOPS,3600,3600,3600,ASOS,S181003022,05,Shirt,100% Cotton,regular,light-blue,Plain,http://images.asos-media.com/products/pullbear-grandad-collar-shirt-in-light-blue/9872780-1-lightblue?$XXL$&wid=513&fit=constrain
967679,,S18100402305,,M,41,44.5,87,78,104,,0,0,0,0,109,109,109,4,Farah Sansfer skinny fit oxford shirt in navy,TOPS,10900,10900,10900,ASOS,S181004023,05,Shirt,"97% Cotton, 3% Elastane.",skinny,navy,Plain,http://images.asos-media.com/products/farah-sansfer-skinny-fit-oxford-shirt-in-navy/7424590-1-navy?$XXL$&wid=513&fit=constrain
967677,,S18100402405,,M,41,44.5,87,78,104,,0,0,0,0,109,109,109,4,Farah Sansfer skinny fit oxford shirt in burgundy,TOPS,10900,10900,10900,ASOS,S181004024,05,Shirt,100% Cotton,skinny,maroon,Plain,http://images.asos-media.com/products/farah-sansfer-skinny-fit-oxford-shirt-in-burgundy/7424591-1-red?$XXL$&wid=513&fit=constrain
967680,,S18100402505,,M,41,44.5,87,78,104,,0,0,0,0,109,109,109,4,Farah Sansfer skinny fit oxford shirt in white,TOPS,10900,10900,10900,ASOS,S181004025,05,Shirt,"97% Cotton, 3% Elastane.",skinny,white,Plain,http://images.asos-media.com/products/farah-sansfer-skinny-fit-oxford-shirt-in-white/7424595-1-white?$XXL$&wid=513&fit=constrain
967678,,S18100402605,,M,41,44.5,87,78,104,,0,0,0,0,109,109,109,4,Farah Sansfer skinny fit oxford shirt in grey,TOPS,10900,10900,10900,ASOS,S181004026,05,Shirt,"97% Cotton, 3% Elastane.",skinny,grey,Plain,http://images.asos-media.com/products/farah-sansfer-skinny-fit-oxford-shirt-in-grey/7424592-1-grey?$XXL$&wid=513&fit=constrain
638137,,S18100402705,,M,41,44.5,87,78,104,,0,0,0,0,109,109,109,4,Farah Brewer slim fit oxford shirt in blue,TOPS,10900,10900,10900,ASOS,S181004027,05,Shirt,100% Cotton,skinny,light-blue,Plain,http://images.asos-media.com/products/farah-brewer-slim-fit-oxford-shirt-in-blue/5068229-1-skyblue?$XXL$&wid=513&fit=constrain
1250274,,S18100402805,,M,41,44.5,87,78,104,,0,0,0,0,138,138,138,4,Farah Brewer slim fit grandad collar oxford shirt in blue,TOPS,13800,13800,13800,ASOS,S181004028,05,Shirt,100% Cotton,skinny,light-blue,Plain,http://images.asos-media.com/products/farah-brewer-slim-fit-grandad-collar-oxford-shirt-in-blue/9468287-1-blue?$XXL$&wid=513&fit=constrain
